protocol,ip,port,country,country_code,city,anonymity,ssl,uptime_percent,asn,isp,latency_ms,last_checked
socks4,31.220.81.59,9050,France,FR,Lauterbourg,elite,true,33.5,AS51167,OWS,147.68,1784330218.6418402
http,188.165.199.207,80,France,FR,Roubaix,elite,false,49.32,AS16276,OVH SAS,1618.66,1784330218.3295867
socks5,62.133.62.12,1081,France,FR,Paris,elite,true,64.39,AS215540,Global Connectivity Solutions LLP,2145.9,1784330215.3947833
socks4,62.133.62.17,1081,France,FR,Paris,elite,true,66.93,AS215540,Global Connectivity Solutions LLP,5165.48,1784330212.2301676
socks4,45.95.233.237,1082,France,FR,Paris,elite,true,67.18,AS215540,Global Connectivity Solutions LLP,11238.01,1784330211.9869585
socks4,62.133.62.184,1082,France,FR,Paris,elite,true,67.42,AS215540,Global Connectivity Solutions LLP,11285.82,1784330211.5565963
socks5,31.220.81.59,9050,France,FR,Lauterbourg,elite,true,28.96,AS51167,OWS,5543.27,1784330207.0192525
http,5.250.181.197,3128,France,FR,Paris,transparent,true,38.85,AS8560,IONOS SE,40.94,1784330199.1538143
socks4,62.133.62.12,1081,France,FR,Paris,elite,true,67.01,AS215540,Global Connectivity Solutions LLP,8317.57,1784330194.63214
socks5,62.133.62.231,1082,France,FR,Paris,elite,true,66.15,AS215540,Global Connectivity Solutions LLP,1205.01,1784330194.338769
socks5,62.133.62.184,1081,France,FR,Paris,elite,true,64.77,AS215540,Global Connectivity Solutions LLP,125.39,1784330192.7484598
http,195.154.191.26,1085,France,FR,Paris,elite,false,23.01,AS12876,Scaleway SAS,1355.7,1784330191.5061235
socks5,45.95.233.237,1081,France,FR,Paris,elite,true,65.0,AS215540,Global Connectivity Solutions LLP,11285.96,1784330190.9496686
socks4,144.91.83.56,9050,France,FR,Lauterbourg,elite,true,15.64,AS51167,Contabo GmbH,13604.73,1784330190.6596768
http,173.212.246.157,3128,France,FR,Lauterbourg,transparent,true,45.84,AS51167,Contabo GmbH,13652.9,1784330190.4383922
socks5,45.95.233.237,1082,France,FR,Paris,elite,true,65.27,AS215540,Global Connectivity Solutions LLP,8231.63,1784330189.9161012
socks5,62.133.62.207,1081,France,FR,Paris,elite,true,67.42,AS215540,Global Connectivity Solutions LLP,3126.4,1784330188.2990522
socks5,13.140.164.179,3658,France,FR,Lauterbourg,elite,true,51.22,AS51167,Contabo GmbH,4073.95,1784330188.1032894
http,37.59.110.73,80,France,FR,Roubaix,elite,true,9.86,AS16276,OVH SAS,7965.52,1784330184.3694656
socks5,109.199.107.68,1080,France,FR,Lauterbourg,elite,true,65.96,AS51167,Contabo GmbH,10775.13,1784330180.039183
http,173.212.245.136,8888,France,FR,Lauterbourg,elite,true,90.05,AS51167,Contabo GmbH,91.39,1784330179.230721
http,87.106.120.212,3128,France,FR,Paris,transparent,true,35.84,AS8560,IONOS SE,5586.95,1784330179.0413437
socks5,5.189.153.6,10105,France,FR,Lauterbourg,elite,true,5.31,AS51167,Contabo GmbH,9388.72,1784330178.6904294
http,217.182.195.221,30004,France,FR,Roubaix,elite,true,49.11,AS16276,OVH SAS,424.38,1784330172.4040878
http,5.189.161.47,3128,France,FR,Lauterbourg,transparent,false,16.02,AS51167,Contabo GmbH,21821.13,1784330171.4144788
socks5,37.44.238.2,57167,France,FR,Paris,elite,true,37.35,AS34534,FBW NETWORKS SAS,6088.97,1784330167.4996333
socks5,91.209.71.84,9117,France,FR,Paris,elite,true,36.7,AS212815,Dyjix SAS,13349.21,1784330167.1296713
